Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category,start_hour,end_hour,start_day,start_month,is_weekend,day_type
153051099,2025-10-15 22:43:00,"Southwick Street, Paddington",3490,2025-10-15 23:02:00,"Thorndike Close, West Chelsea",300030,58313,CLASSIC,19m 13s,1153998,19.2333,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051100,2025-10-15 22:43:00,"Vincent Street, Pimlico",22161,2025-10-15 22:55:00,"Riverlight North, Nine Elms",1165,55257,CLASSIC,11m 37s,697109,11.618483333333334,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051101,2025-10-15 22:43:00,"St. Martin's Street, West End",1158,2025-10-15 23:02:00,"Binfield Road, Stockwell",300015,42126,CLASSIC,18m 30s,1110338,18.505633333333332,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051102,2025-10-15 22:43:00,"Southwick Street, Paddington",3490,2025-10-15 23:02:00,"Thorndike Close, West Chelsea",300030,58126,CLASSIC,19m 5s,1145464,19.091066666666666,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051103,2025-10-15 22:43:00,"Southwick Street, Paddington",3490,2025-10-15 23:02:00,"Thorndike Close, West Chelsea",300030,21887,CLASSIC,18m 54s,1134821,18.913683333333335,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051104,2025-10-15 22:44:00,"Ontario Street, Elephant & Castle",1200,2025-10-15 22:58:00,"Gloucester Street, Pimlico",1103,53173,CLASSIC,14m 8s,848188,14.136466666666667,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051105,2025-10-15 22:44:00,"New Globe Walk, Bankside",1015,2025-10-15 22:58:00,"Strata, Elephant & Castle",10624,57468,CLASSIC,14m 24s,864432,14.4072,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051085,2025-10-15 22:42:00,"Guilford Street , Bloomsbury",974,2025-10-15 23:04:00,"Kennington Road Post Office, Oval",1073,40508,CLASSIC,22m 35s,1355233,22.587216666666666,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051086,2025-10-15 22:42:00,"Clapham Common Station, Clapham Common",2694,2025-10-15 22:49:00,"Limburg Road, Clapham Junction",300100,57560,CLASSIC,7m 0s,420351,7.00585,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051087,2025-10-15 22:42:00,"Wapping Lane, Wapping",200034,2025-10-15 22:43:00,"Reardon Street, Wapping",22176,21179,CLASSIC,1m 7s,67408,1.1234666666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051088,2025-10-15 22:42:00,"Aldersgate Street, Barbican",1065,2025-10-15 22:49:00,"Finsbury Square , Moorgate",1056,58931,CLASSIC,6m 37s,397661,6.627683333333334,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051089,2025-10-15 22:42:00,"Islington Green, Angel",300031,2025-10-15 22:51:00,"Dunston Road , Haggerston",300024,60507,PBSC_EBIKE,8m 53s,533893,8.898216666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051090,2025-10-15 22:43:00,"Eaton Square (South), Belgravia",22164,2025-10-15 22:48:00,"Queen Mother Sports Centre, Victoria",1148,58036,CLASSIC,5m 25s,325747,5.429116666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051091,2025-10-15 22:43:00,"York Hall, Bethnal Green",200042,2025-10-15 22:45:00,"Pritchard's Road, Bethnal Green",200083,53533,CLASSIC,2m 49s,169137,2.81895,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051092,2025-10-15 22:43:00,"Westferry Circus, Canary Wharf",300228,2025-10-15 23:01:00,"Leonard Circus , Shoreditch",1020,60228,PBSC_EBIKE,18m 9s,1089896,18.164933333333334,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051070,2025-10-15 22:41:00,"Ravenscourt Park Station, Hammersmith",300037,2025-10-15 22:52:00,"Everington Street, Fulham",300028,56757,CLASSIC,11m 45s,705620,11.760333333333334,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051071,2025-10-15 22:41:00,"Bankside Mix, Bankside",963,2025-10-15 23:02:00,"Hoxton Station, Hoxton",200151,51737,CLASSIC,21m 4s,1264553,21.075883333333334,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051072,2025-10-15 22:41:00,"Gower Place , Euston",969,2025-10-15 22:49:00,"Russell Square Station, Bloomsbury",978,41627,CLASSIC,8m 9s,489022,8.150366666666667,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051073,2025-10-15 22:41:00,"Kensington Church Street, Kensington",1143,2025-10-15 22:52:00,"St. Mark's Road, North Kensington",300034,51869,CLASSIC,10m 51s,651721,10.862016666666667,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051074,2025-10-15 22:41:00,"William Morris Way, Sands End",200062,2025-10-15 23:04:00,"Fulham Broadway, Walham Green",300086,55951,CLASSIC,22m 50s,1370910,22.8485,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051075,2025-10-15 22:41:00,"Heron Quays DLR, Canary Wharf",200138,2025-10-15 22:48:00,"Westferry Circus, Canary Wharf",300228,57283,CLASSIC,6m 45s,405361,6.756016666666667,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051076,2025-10-15 22:41:00,"Chicheley Street, South Bank",200206,2025-10-15 22:56:00,"Old Montague Street, Whitechapel",200239,52577,CLASSIC,15m 40s,940702,15.678366666666667,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051077,2025-10-15 22:41:00,"St. Katharine's Way, Tower",200049,2025-10-15 23:18:00,"Saunders Ness Road, Cubitt Town",200022,51540,CLASSIC,37m 1s,2221710,37.0285,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051078,2025-10-15 22:41:00,"Red Lion Square, Holborn",3421,2025-10-15 23:06:00,"Salmon Lane, Limehouse",200147,64099,PBSC_EBIKE,24m 35s,1475819,24.596983333333334,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
